frame,pump_rpm,time_s,area_um2,area_mm2,r_eff_um,coverage
40,4,0.4,81315.97986820168,0.0813159798682016,160.88405855388746,0.8277777777777777
41,4,0.41,80945.21380550793,0.0809452138055079,160.51685828458588,0.8305555555555556
42,4,0.42,85537.08665880229,0.0855370866588022,165.00697051596455,0.825
43,4,0.43,84596.27457509741,0.0845962745750974,164.09701560836493,0.8333333333333334
44,4,0.44,84600.26319867787,0.0846002631986778,164.10088406187788,0.8416666666666667
45,4,0.45,85276.20394180481,0.0852762039418048,164.7551479344473,0.8277777777777777
46,4,0.46,83831.12162817358,0.0838311216281735,163.35322091750575,0.8361111111111111
47,4,0.47,84401.2396814606,0.0844012396814606,163.90774538372665,0.8333333333333334
48,4,0.48,84478.74184035395,0.0844787418403539,163.98298295906469,0.8333333333333334
49,4,0.49,82876.86365719374,0.0828768636571937,162.42082698345945,0.8194444444444444
50,4,0.5,83845.1028727598,0.0838451028727598,163.36684226762904,0.8277777777777777
51,4,0.51,84939.37679856124,0.0849393767985612,164.429447974723,0.825
52,4,0.52,85302.2875255877,0.0853022875255877,164.78034298267133,0.8305555555555556
53,4,0.53,84630.72893529572,0.0846307289352957,164.13042891263404,0.8277777777777777
54,4,0.54,83284.25567127162,0.0832842556712716,162.81953796649893,0.8277777777777777
55,4,0.55,84028.77209553283,0.0840287720955328,163.54567827335805,0.8305555555555556
56,4,0.56,85128.8483945363,0.0851288483945363,164.61273961459366,0.825
57,4,0.57,80757.29400176762,0.0807572940017676,160.3304246305534,0.825
58,4,0.58,84151.82009941853,0.0841518200994185,163.66537898408674,0.825
59,4,0.59,84612.64710652095,0.0846126471065209,164.1128942837397,0.825
60,4,0.6,84143.95635070727,0.0841439563507072,163.65773177289086,0.8333333333333334
61,4,0.61,85237.01475588155,0.0852370147558815,164.71728648077817,0.8305555555555556
62,4,0.62,85902.82584096916,0.0859028258409691,165.35936234850715,0.8277777777777777
63,4,0.63,84391.62628545894,0.0843916262854589,163.89841047975247,0.8277777777777777
64,4,0.64,83936.83991485205,0.083936839914852,163.4561897265552,0.8333333333333334
65,4,0.65,84036.88930694803,0.084036889306948,163.55357737003015,0.8222222222222222
66,4,0.66,83535.09998495139,0.0835350999849513,163.0645521520893,0.8222222222222222
67,4,0.67,85888.46324711558,0.0858884632471155,165.34553807312142,0.8305555555555556
68,4,0.68,85425.556232501,0.0854255562325009,164.89936046435838,0.8194444444444444
69,4,0.69,84666.00664729155,0.0846660066472915,164.16463364420315,0.825
70,4,0.7,83521.90560630553,0.0835219056063055,163.0516736111483,0.8277777777777777
71,4,0.71,85129.35866487381,0.0851293586648738,164.61323296598934,0.8277777777777777
72,4,0.72,84392.20550182475,0.0843922055018247,163.8989729317573,0.8166666666666667
73,4,0.73,84035.31012761765,0.0840353101276176,163.55204065416467,0.8333333333333334
74,4,0.74,83815.21198792291,0.0838152119879229,163.33771942924275,0.825
75,4,0.75,85483.0571700054,0.0854830571700054,164.95484896912515,0.8222222222222222
76,4,0.76,85607.19971794682,0.0856071997179468,165.0745831396605,0.8277777777777777
