x,y,uMBx,uMBy
4010.28426605858,175.1795868290623,0.00887917677429087,0.0023832963199728646
4010.505954784406,175.2389688974686,0.008866608303484184,0.0023699854426530212
4010.727341124433,175.29801610947297,0.008854509797116137,0.0023563521015860056
4010.8878573129446,175.34066318805623,0.008845622211341206,0.0023463892969203828
4011.0482105290516,175.38313088467353,0.008836063091784108,0.0023363428441225483
4011.218605000581,175.42810807444954,0.008824993653992069,0.002325507016824274
4011.425602944478,175.4825455513499,0.008811670704266831,0.00231274704483943
4011.6322907883373,175.53668373139467,0.008798554161533903,0.002299406483030061
4011.8201639561876,175.5856781908868,0.00878676186126157,0.0022866506370506465
4012.2510473602297,175.69729303029516,0.008757892872698922,0.002258291240080681
4012.5069084052075,175.76309433195877,0.008739324184757,0.0022413883249131536
4012.759398790582,175.82767440850975,0.008721341201815374,0.002224453045578849
4012.979396933762,175.883651778425,0.008706287309222512,0.0022100050690234694
4013.19901659239,175.9392689267151,0.008691511813776146,0.0021959380034103724
4013.54311346163,176.02589418910543,0.008669157490193452,0.002174375777768008
4013.877763502528,176.1095263833002,0.008647102711223167,0.0021529745138237962
4014.207513563591,176.19133384687203,0.008625793573808098,0.002132315939389186
4014.378550044625,176.2335376316494,0.008614994677853495,0.002121945924374164
4014.54937839186,176.2755346758901,0.008604856923106993,0.002111425489512232
4014.793851084411,176.33535178400777,0.008589848296484006,0.002095762796023251
4015.1005235743273,176.40991490325666,0.008569953649337065,0.0020764659098575877
4015.396325130387,176.4813559853456,0.008549604304485368,0.0020583562306704956
4015.468493509077,176.49871776452676,0.008544731991774543,0.0020540912713979337
4015.540617594646,176.5160419629808,0.008538995968143115,0.0020492612098351576
4015.628874680441,176.53719912336084,0.008532390739815585,0.0020431325846452975
4015.7379297017837,176.5632776243553,0.008525059869355298,0.002035867556745146
4015.9626555932446,176.61679907990938,0.00851014909145707,0.0020213994858449317
4016.1869855804757,176.6699455022634,0.008494412877582026,0.0020071731001686174
4016.411946117845,176.72296595396156,0.00847782440728244,0.00199306525197529
4017.2674078589976,176.92200476578248,0.00841777296538774,0.001938441481137955
4017.7725941055237,177.0376237129043,0.008383252171240698,0.0019063788494473807
4018.24696102156,177.14486628149658,0.008352411724917587,0.0018773829567939936
4018.871956441633,177.28425161111034,0.008314487478901528,0.0018394042605862347
4019.4601689849965,177.41341346563715,0.008280205069428299,0.0018050061455126582
4019.970265180778,177.52386628693876,0.008249021612988142,0.0017741424449016047
4020.3935650987523,177.6144262541481,0.008219847575707172,0.0017494006664207818
4020.7794406718444,177.69615225987408,0.00819116457091514,0.0017262125155090438
4021.203575087012,177.78506655200437,0.008161633145809958,0.0017021537195600173
4021.4967049041197,177.8459865658815,0.008141539212729205,0.001685912479691676
4021.784966734509,177.90546339275016,0.008121952772010615,0.0016695702175848828
4022.091622349499,177.9682532017299,0.008101728016427157,0.0016524327739967529
4022.4569378926685,178.0424207654015,0.008078210169853897,0.0016322736783826442
4022.8084977563312,178.11312555968965,0.008054998747613354,0.0016121975325153117
4023.1389973287914,178.17897661370597,0.008033458027845494,0.0015934155566945773
4023.5173373268262,178.25363559674065,0.008009662775404977,0.0015721878520106342
4023.8834233526413,178.32510146779336,0.007986190916127667,0.001550547036778228
4024.266767042999,178.3991157788614,0.007960795924941639,0.001528511657273036
4024.423695411747,178.429179633985,0.007951293682753822,0.0015199102383724342
4024.5804371398244,178.45907343063874,0.007941716158187034,0.00151089021425583
4024.727990253394,178.48707651260662,0.007931062917201703,0.0015015252049452995
4024.923909857399,178.52405152188857,0.007917042695655307,0.0014894943001358928
4025.1362438307037,178.56386856296436,0.00790222179515204,0.0014770362205228321
4025.3481798247913,178.60335727384526,0.007886761111009253,0.0014648285038640562
4025.500610478722,178.6316036578466,0.007874579339722068,0.0014557173628890342
4025.652801549975,178.65966926110403,0.007862318689575513,0.001446206454944405
4025.823735851562,178.69102114356556,0.007849043704933632,0.0014355458306542928
4026.3050468639453,178.77837208984863,0.007813182054068285,0.0014070819316609796
4026.784167421378,178.86396540307078,0.007777805146447537,0.001377872720033868
4027.309026187701,178.9561149892994,0.0077413647820710205,0.0013471131055872027
4027.846081272261,179.04869160031922,0.007703556014566329,0.0013149849303344754
4028.331724203237,179.1308758433894,0.007670747664612697,0.0012871027094041923
4028.901901909886,179.22559038557623,0.0076333576852464355,0.0012551104301062271
4029.4153070958723,179.30925845505186,0.007600378436291608,0.0012279252427818714
4030.110799332123,179.42029407916385,0.0075529244717352385,0.0011918228647931075
4030.359668639826,179.45941213540405,0.00753544077174455,0.0011799196427920555
4030.491781149502,179.4800569920947,0.007527504241253106,0.0011739388730559424
4030.62375110975,179.5005929449137,0.0075186051972315785,0.0011673447200766518
4030.7825080877783,179.5251760798781,0.0075070525096175705,0.001159388082161991
