x,y,u,v
0.00029,2.5e-05,0.7846032136815947,-0.055371922
0.0003,2.5e-05,0.8144021287909784,-0.060321015
0.00031,2.5e-05,0.8511045429071947,-0.058925565
0.00032,2.5e-05,0.881831442,-0.05625901
0.00033,2.5e-05,0.9037070797941652,-0.050943318
0.00034,2.5e-05,0.9309769677602284,-0.045475633
0.00035,2.5e-05,0.9640581,-0.037596
0.00036,2.5e-05,0.9804353659623036,-0.029760122
0.00037,2.5e-05,0.9957580829337273,-0.021825117
0.00038,2.5e-05,0.998072855,-0.015579087
0.00039,2.5e-05,1.0120587727583157,-0.008637226
0.0004,2.5e-05,1.023262179790273,-0.004756697
0.00041,2.5e-05,1.0188334029105404,-0.000454694
0.00042,2.5e-05,1.0164070534620366,0.001732543
0.00043,2.5e-05,1.0176010630637664,0.004762883
0.00044,2.5e-05,1.0221885835277482,0.00674142
0.00045,2.5e-05,1.0077779962652649,0.005248944
0,3e-05,1.0370949282516004,0.005848121
1.0000000000000026e-05,3e-05,1.0321203902534035,0.006809431
1.9999999999899872e-05,3e-05,1.0332504933679614,0.008885095
2.99999999998999e-05,3e-05,1.0312647771328196,0.011650775
3.9999999999899925e-05,3e-05,1.0179380707520775,0.016450176
4.999999999989995e-05,3e-05,1.011767972557268,0.021694531
5.999999999989998e-05,3e-05,1.017579358,0.021795599
6.99999999999e-05,3e-05,0.9975155053879636,0.02674183
7.999999999990003e-05,3e-05,0.9857082412093948,0.032527035
8.99999999999998e-05,3e-05,0.9594497597376088,0.037585773
9.999999999999983e-05,3e-05,0.9424698479862228,0.041299533
0.00011,3e-05,0.9305248252317084,0.045234341
0.00012,3e-05,0.9142097335590696,0.047362099
0.00013,3e-05,0.8809188504349629,0.048247422
0.00014,3e-05,0.8584635762444516,0.048367246
0.00015,3e-05,0.8394142327189179,0.045744779
0.00016,3e-05,0.8161659902709308,0.042349351
0.00017,3e-05,0.781665575,0.034390647
0.00018,3e-05,0.7733385678321157,0.029515664
0.00019,3e-05,0.7499331659671951,0.021824887
0.0002,3e-05,0.7479885644239714,0.01439946
0.00021,3e-05,0.7419912614471524,0.006013673
0.00022,3e-05,0.7393723604340177,-0.004301267
0.00023,3e-05,0.7321473759071088,-0.015263362
0.00024,3e-05,0.7334223104858496,-0.025269645
0.00025,3e-05,0.7450171552069781,-0.035947435
0.00026,3e-05,0.7633889529211982,-0.045955267
0.00027,3e-05,0.7791883854321696,-0.055961768
0.00028,3e-05,0.8023262149842737,-0.063384026
0.00029,3e-05,0.8285043966909277,-0.070276957
0.0003,3e-05,0.8535561520779251,-0.073711784
0.00031,3e-05,0.8916838079503627,-0.074895757
0.00032,3e-05,0.9300112625105756,-0.072252703
0.00033,3e-05,0.9493131028490648,-0.065394094
0.00034,3e-05,0.9785346430021432,-0.059682892
0.00035,3e-05,0.9976987710680768,-0.048772772
0.00036,3e-05,1.0174989486763817,-0.039399741
0.00037,3e-05,1.0420129141460568,-0.030554161
0.00038,3e-05,1.053973917322485,-0.022191579
0.00039,3e-05,1.0599274571961397,-0.013712851
0.0004,3e-05,1.0774867888074762,-0.008343253
0.00041,3e-05,1.0831599081711392,-0.002526109
0.00042,3e-05,1.081894968614722,-0.000545723
0.00043,3e-05,1.081881384021397,0.002663736
0.00044,3e-05,1.075215499390263,0.007151689
0.00045,3e-05,1.0758608245962773,0.008850122
0,3.5e-05,1.099530183920162,0.006779127
1.0000000000000026e-05,3.5e-05,1.0803299514776192,0.009273918
1.9999999999899872e-05,3.5e-05,1.0894990892762073,0.010621903
2.99999999998999e-05,3.5e-05,1.0762820210983246,0.01339838
3.9999999999899925e-05,3.5e-05,1.068137716406972,0.019436044
4.999999999989995e-05,3.5e-05,1.0655286732514515,0.023413778
5.999999999989998e-05,3.5e-05,1.069823120536176,0.026902411
6.99999999999e-05,3.5e-05,1.0556681283919085,0.031413865
7.999999999990003e-05,3.5e-05,1.0304223335726763,0.039327241
8.99999999999998e-05,3.5e-05,1.0182674934593794,0.045071066
9.999999999999983e-05,3.5e-05,1.0005165724824543,0.050167313
0.00011,3.5e-05,0.9953454657083328,0.054297428
0.00012,3.5e-05,0.9620057272620888,0.058608928
0.00013,3.5e-05,0.9531332227014908,0.06125752
0.00014,3.5e-05,0.9206748735286612,0.059847373
0.00015,3.5e-05,0.9022003999025948,0.056912132
0.00016,3.5e-05,0.8692363314881508,0.053556819
0.00017,3.5e-05,0.8490493621303719,0.047081169
0.00018,3.5e-05,0.8173871122573879,0.039222173
0.00019,3.5e-05,0.8043529983010368,0.030408709
0.0002,3.5e-05,0.791261241,0.020516908
0.00021,3.5e-05,0.7881583153225499,0.00933946
0.00022,3.5e-05,0.7837394734711367,-0.001008238
0.00023,3.5e-05,0.7785349391443072,-0.014105402
0.00024,3.5e-05,0.7772863856714878,-0.027614919
0.00025,3.5e-05,0.7828524737490224,-0.040285457
0.00026,3.5e-05,0.8007000747983459,-0.052447188
0.00027,3.5e-05,0.817811977,-0.064773915
0.00028,3.5e-05,0.8421043677533688,-0.075615921
0.00029,3.5e-05,0.85815332,-0.084686341
0.0003,3.5e-05,0.8878590827482616,-0.088462813
0.00031,3.5e-05,0.9238045420161995,-0.090862206
0.00032,3.5e-05,0.964569579,-0.08864615
0.00033,3.5e-05,0.980768546,-0.081153741
0.00034,3.5e-05,1.0142222683800783,-0.074524432
0.00035,3.5e-05,1.047628215745592,-0.06406797
0.00036,3.5e-05,1.0606525553899615,-0.051917188
0.00037,3.5e-05,1.081251397446365,-0.039591086
0.00038,3.5e-05,1.0897744524419375,-0.029747932
0.00039,3.5e-05,1.108031014482076,-0.020829399
0.0004,3.5e-05,1.1189864529302156,-0.013018657
0.00041,3.5e-05,1.1147275049198366,-0.005587178
0.00042,3.5e-05,1.1195328997916731,-0.001578958
0.00043,3.5e-05,1.121069926563436,0.002663825
0.00044,3.5e-05,1.1200612677330952,0.006492371
0.00045,3.5e-05,1.1190763359262497,0.007196709
0,4e-05,1.130110701863004,0.008624777
1.0000000000000026e-05,4e-05,1.105124826428712,0.010361637
1.9999999999899872e-05,4e-05,1.1234057120036407,0.012063209
