x1,y1,uMBx1,uMBy1,x2,y2,uMBx2,uMBy2
3982.3856847797615,220.35735270525373,4.7597076965388093e-14,1.3540407848041825e-13,3982.385685184275,220.35735389444093,-5.075684632608289e-09,-1.4549466626084972e-08
3982.3856847797656,220.35735270526607,-1.555059831702869e-14,-5.137415297243123e-14,3982.385684323534,220.35735137784948,-8.024811624281884e-10,-2.6372851262775186e-09
3982.3856847797606,220.35735270525134,-1.8731902317585623e-14,-5.937549784128801e-14,3982.3856850235907,220.35735340282798,6.000349802488211e-09,1.766642591752608e-08
3982.385684779764,220.357352705261,4.614109518206879e-14,1.1977781255436157e-13,3982.3856848119267,220.35735281471418,-7.418962841594553e-09,-2.162720766217562e-08
3982.3856847797633,220.3573527052584,-4.952043248259384e-14,-1.475938090844643e-13,3982.3856845572705,220.3573520411021,7.527203843110788e-09,2.1819854891751455e-08
3982.385684779761,220.3573527052532,3.9647181692949975e-14,1.260884106248811e-13,3982.3856852003723,220.3573539398743,-4.385666053506093e-09,-1.2525485673246794e-08
3982.3856847797656,220.3573527052661,-6.987727019352856e-15,-3.600595797279942e-14,3982.38568434077,220.35735142969259,-1.5697587203006465e-09,-4.8650934197063415e-09
3982.3856847797606,220.35735270525188,-3.238055936298573e-14,-6.981844152787262e-14,3982.3856849861636,220.35735329314258,6.306104404779966e-09,1.8534452125118457e-08
3982.3856847797633,220.35735270526064,4.3686186526719403e-14,1.2237534295886154e-13,3982.3856848301107,220.35735286771538,-7.428368996335212e-09,-2.1642831705384123e-08
3982.3856847797633,220.35735270525882,-4.971312862397829e-14,-1.4742739774409497e-13,3982.3856845390087,220.35735198817386,7.394668000485028e-09,2.142109101513019e-08
3982.3856847797606,220.35735270525274,3.83229828339581e-14,1.18435524081273e-13,3982.385685211248,220.3573539705042,-3.889110465110969e-09,-1.106932674017703e-08
3982.385684779766,220.3573527052661,-6.863178698315909e-16,-2.4446861703502662e-14,3982.385684354262,220.3573514701602,-2.1146521121607327e-09,-6.446478024149435e-09
3982.3856847797606,220.3573527052523,-4.267065462753901e-14,-7.777838361686673e-14,3982.385684959135,220.35735321395518,6.513695315442863e-09,1.9122799249519793e-08
3982.3856847797633,220.35735270526033,6.495853494485822e-14,1.2623565168229802e-13,3982.3856848421,220.35735290276847,-7.484153281139622e-09,-2.1797825972847414e-08
3982.3856847797642,220.35735270525925,-6.696527428980073e-14,-1.497204738868288e-13,3982.3856845256937,220.35735194945218,7.359259686022959e-09,2.130904652801499e-08
3982.3856847797597,220.3573527052522,4.356869302805221e-14,1.1350901581148687e-13,3982.385685220617,220.35735399713,-3.5737204943223048e-09,-1.0142826997270765e-08
3982.385684779766,220.3573527052663,1.8837202170669928e-15,-1.354682844181592e-14,3982.385684362216,220.357351494165,-2.50578165867846e-09,-7.582740290233803e-09
3982.385684779761,220.35735270525262,-3.5705779134066365e-14,-8.697931060821672e-14,3982.3856849397844,220.35735315720297,6.6910675245759944e-09,1.9627933762221994e-08
